               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  74,            0.039416,            0.059388,          0.00061798,             0.92253,             0.88612,              0.9381,             0.60099,            0.035977,             0.05748,           0.0011669,            0.005182,            0.005182,            0.005182
                  75,            0.039217,            0.059336,          0.00060774,              0.9272,             0.89183,             0.93935,              0.6012,            0.035952,            0.057409,           0.0011857,            0.005116,            0.005116,            0.005116
                  76,            0.039073,            0.058888,          0.00061941,             0.93009,             0.88673,             0.93788,             0.60132,            0.035941,             0.05752,            0.001159,             0.00505,             0.00505,             0.00505
                  77,            0.038945,             0.05862,          0.00064515,             0.93016,               0.889,             0.93738,              0.6018,            0.035893,            0.057436,           0.0011917,            0.004984,            0.004984,            0.004984
                  78,            0.039138,            0.058506,          0.00063506,             0.92973,             0.88678,             0.93701,             0.60261,            0.035877,             0.05744,           0.0011579,            0.004918,            0.004918,            0.004918
                  79,            0.039125,            0.058419,          0.00066357,             0.93199,             0.88663,             0.93852,             0.60169,            0.035836,            0.057483,            0.001128,            0.004852,            0.004852,            0.004852
                  80,            0.039001,            0.058728,          0.00060961,             0.92559,             0.88756,              0.9393,             0.60235,            0.035843,            0.057504,           0.0011231,            0.004786,            0.004786,            0.004786
                  81,            0.038955,            0.058835,          0.00064301,             0.92957,             0.88732,             0.93852,             0.60406,            0.035791,            0.057395,           0.0011756,             0.00472,             0.00472,             0.00472
                  82,            0.039097,            0.059378,          0.00062045,             0.93272,             0.88304,             0.93816,             0.60484,            0.035752,            0.057406,           0.0011582,            0.004654,            0.004654,            0.004654
                  83,            0.038867,            0.058703,          0.00062757,             0.93445,             0.88832,              0.9403,             0.60434,            0.035741,            0.057504,           0.0011876,            0.004588,            0.004588,            0.004588
                  84,            0.038792,            0.057783,          0.00060491,             0.92691,             0.88813,             0.93776,             0.60408,            0.035763,            0.057483,           0.0011356,            0.004522,            0.004522,            0.004522
                  85,            0.038825,            0.057959,           0.0005668,             0.93164,             0.88913,             0.94024,             0.60466,            0.035733,            0.057443,           0.0011086,            0.004456,            0.004456,            0.004456
                  86,            0.038913,            0.058911,          0.00058398,             0.92898,              0.8875,             0.93929,             0.60559,            0.035715,            0.057448,           0.0011271,             0.00439,             0.00439,             0.00439
                  87,            0.038512,            0.058182,          0.00053426,               0.929,             0.88833,             0.93859,             0.60515,            0.035701,            0.057412,            0.001128,            0.004324,            0.004324,            0.004324
                  88,            0.038915,            0.058686,          0.00049461,             0.92802,             0.88674,             0.93745,             0.60714,            0.035687,            0.057377,           0.0012111,            0.004258,            0.004258,            0.004258
                  89,            0.038782,            0.058714,           0.0005524,             0.93232,             0.88708,             0.93999,             0.60522,            0.035676,            0.057378,           0.0011569,            0.004192,            0.004192,            0.004192
                  90,            0.038564,            0.058126,          0.00051548,             0.93378,             0.88714,             0.94031,             0.60481,            0.035654,            0.057343,            0.001146,            0.004126,            0.004126,            0.004126
                  91,             0.03834,            0.057978,          0.00054078,             0.93091,             0.89004,              0.9399,             0.60654,            0.035635,             0.05728,           0.0011116,             0.00406,             0.00406,             0.00406
                  92,            0.038686,            0.058791,          0.00053493,              0.9293,             0.89033,             0.94104,             0.60605,            0.035643,            0.057296,           0.0011267,            0.003994,            0.003994,            0.003994
                  93,            0.038592,            0.058502,          0.00053294,             0.93033,             0.89157,             0.94278,              0.6071,             0.03561,            0.057296,            0.001126,            0.003928,            0.003928,            0.003928
                  94,            0.038505,            0.058394,          0.00052503,             0.93057,              0.8917,             0.94151,             0.60747,            0.035587,            0.057285,           0.0011129,            0.003862,            0.003862,            0.003862
                  95,            0.038498,            0.057758,          0.00050715,             0.93292,             0.89332,             0.94101,             0.60726,            0.035566,            0.057278,           0.0011569,            0.003796,            0.003796,            0.003796
                  96,            0.038293,            0.057687,          0.00055477,             0.93074,             0.89708,             0.93983,             0.60465,            0.035619,            0.057325,           0.0011568,             0.00373,             0.00373,             0.00373
                  97,            0.038229,            0.057077,          0.00050572,             0.93216,             0.89515,             0.94032,             0.60459,            0.035612,            0.057297,           0.0011864,            0.003664,            0.003664,            0.003664
                  98,            0.038451,             0.05792,          0.00054276,             0.93662,              0.8898,             0.94066,             0.60611,            0.035607,            0.057319,           0.0011714,            0.003598,            0.003598,            0.003598
